Time_s,Output
0,0.001134935
0.000586166,0.001129784
0.001172333,0.001124703
0.001758499,0.001120899
0.002344666,0.00111965
0.002930832,0.001122244
0.003516999,0.001129958
0.004103165,0.001143998
0.004689332,0.001165393
0.005275498,0.001194824
0.005861665,0.001232453
0.006447831,0.001277787
0.007033998,0.001329657
0.007620164,0.001386313
0.008206331,0.001445646
0.008792497,0.001505477
0.009378664,0.001563848
0.00996483,0.001619265
0.010550996,0.001670843
0.011137163,0.001718365
0.011723329,0.001762216
0.012309496,0.001803213
0.012895662,0.001842297
0.013481829,0.001880172
0.014067995,0.001916957
0.014654162,0.001951969
0.015240328,0.001983698
0.015826495,0.002009983
0.016412661,0.002028345
0.016998828,0.0020364
0.017584994,0.002032295
0.018171161,0.002015104
0.018757327,0.001985142
0.019343494,0.001944124
0.01992966,0.001895085
0.020515826,0.001842044
0.021101993,0.001789471
0.021688159,0.001741667
0.022274326,0.001702209
0.022860492,0.001673545
0.023446659,0.001656772
0.024032825,0.001651614
0.024618992,0.001656602
0.025205158,0.00166944
0.025791325,0.001687513
0.026377491,0.001708408
0.026963658,0.001730338
0.027549824,0.001752385
0.028135991,0.001774532
0.028722157,0.001797514
0.029308324,0.001822538
0.02989449,0.001850887
0.030480657,0.001883475
0.031066823,0.001920424
0.031652989,0.001960794
0.032239156,0.002002535
0.032825322,0.002042715
0.033411489,0.002077922
0.033997655,0.00210476
0.034583822,0.002120327
0.035169988,0.002122643
0.035756155,0.002110967
0.036342321,0.002085951
0.036928488,0.002049573
0.037514654,0.002004827
0.038100821,0.001955229
0.038686987,0.001904255
0.039273154,0.001854848
0.03985932,0.001809073
0.040445487,0.001767946
0.041031653,0.001731455
0.041617819,0.00169875
0.042203986,0.001668487
0.042790152,0.001639267
0.043376319,0.001610048
0.043962485,0.001580445
0.044548652,0.001550838
0.045134818,0.001522291
0.045720985,0.00149632
0.046307151,0.001474562
0.046893318,0.001458377
0.047479484,0.001448455
0.048065651,0.001444502
0.048651817,0.001445122
0.049237984,0.001447945
0.04982415,0.001449966
0.050410317,0.001448014
0.050996483,0.001439229
0.051582649,0.001421473
0.052168816,0.001393652
0.052754982,0.001355897
0.053341149,0.001309576
0.053927315,0.001257091
0.054513482,0.001201486
0.055099648,0.001145935
0.055685815,0.00109324
0.056271981,0.001045426
0.056858148,0.001003498
0.057444314,0.000967384
0.058030481,0.000936064
0.058616647,0.000907873
0.059202814,0.00088092
0.05978898,0.000853556
0.060375147,0.000824767
0.060961313,0.000794396
0.061547479,0.00076317
0.062133646,0.000732537
0.062719812,0.000704364
0.063305979,0.000680554
0.063892145,0.000662635
0.064478312,0.000651372
0.065064478,0.000646485
0.065650645,0.000646528
0.066236811,0.000649
0.066822978,0.000650677
0.067409144,0.000648101
0.067995311,0.000638119
0.068581477,0.000618357
0.069167644,0.00058757
0.06975381,0.000545815
0.070339977,0.000494458
0.070926143,0.000435982
0.071512309,0.000373593
0.072098476,0.0003107
0.072684642,0.000250359
0.073270809,0.000194825
0.073856975,0.000145322
0.074443142,0.000102048
0.075029308,6.43E-05
0.075615475,3.10E-05
0.076201641,3.43E-07
0.076787808,-2.90E-05
0.077373974,-5.81E-05
0.077960141,-8.76E-05
0.078546307,-0.000117079
0.079132474,-0.000145617
0.07971864,-0.000171904
0.080304807,-0.00019463
0.080890973,-0.000212834
0.08147714,-0.000226143
0.082063306,-0.000234887
0.082649472,-0.000240116
0.083235639,-0.000243509
0.083821805,-0.000247161
0.084407972,-0.000253265
0.084994138,-0.000263741
0.085580305,-0.000279921
0.086166471,-0.000302369
0.086752638,-0.000330871
0.087338804,-0.000364565
0.087924971,-0.000402143
0.088511137,-0.000442097
0.089097304,-0.000482995
0.08968347,-0.000523774
0.090269637,-0.000563971
0.090855803,-0.000603844
0.09144197,-0.000644286
0.092028136,-0.00068658
0.092614302,-0.000732066
0.093200469,-0.000781808
0.093786635,-0.000836338
0.094372802,-0.000895479
0.094958968,-0.000958255
0.095545135,-0.001022906
0.096131301,-0.001087037
0.096717468,-0.001147921
0.097303634,-0.001202915
0.097889801,-0.001249902
0.098475967,-0.001287654
0.099062134,-0.001316026
0.0996483,-0.001335944
0.100234467,-0.00134923
0.100820633,-0.001358295
0.1014068,-0.001365795
0.101992966,-0.001374283
0.102579132,-0.001385881
0.103165299,-0.001401987
0.103751465,-0.001423064
0.104337632,-0.001448574
0.104923798,-0.001477093
0.105509965,-0.001506614
0.106096131,-0.001534973
0.106682298,-0.001560293
0.107268464,-0.001581326
0.107854631,-0.001597634
0.108440797,-0.001609611
0.109026964,-0.001618373
0.10961313,-0.001625548
0.110199297,-0.001632958
0.110785463,-0.001642208
0.11137163,-0.001654269
0.111957796,-0.00166918
0.112543962,-0.001685971
0.113130129,-0.001702804
0.113716295,-0.001717288
0.114302462,-0.001726916
0.114888628,-0.001729572
0.115474795,-0.001724047
0.116060961,-0.001710435
0.116647128,-0.001690286
0.117233294,-0.001666434
0.117819461,-0.001642577
0.118405627,-0.001622736
0.118991794,-0.001610732
0.11957796,-0.001609705
0.120164127,-0.001621667
0.120750293,-0.001647091
0.12133646,-0.001684657
0.121922626,-0.001731322
0.122508792,-0.001782799
0.123094959,-0.001834357
0.123681125,-0.001881675
0.124267292,-0.001921492
0.124853458,-0.001951901
0.125439625,-0.001972369
0.126025791,-0.001983584
0.126611958,-0.001987213
0.127198124,-0.00198551
0.127784291,-0.001980749
0.128370457,-0.001974564
0.128956624,-0.001967406
0.12954279,-0.001958342
0.130128957,-0.001945259
0.130715123,-0.001925403
0.13130129,-0.001896061
0.131887456,-0.001855213
0.132473623,-0.001802068
0.133059789,-0.00173741
0.133645955,-0.001663715
0.134232122,-0.00158498
0.134818288,-0.001506293
0.135404455,-0.001433173
0.135990621,-0.00137084
0.136576788,-0.001323505
0.137162954,-0.001293788
0.137749121,-0.001282313
0.138335287,-0.001287592
0.138921454,-0.001306263
0.13950762,-0.001333748
0.140093787,-0.001365155
0.140679953,-0.001396186
0.14126612,-0.001423736
0.141852286,-0.001446127
0.142438453,-0.001463025
0.143024619,-0.001475218
0.143610785,-0.001484292
0.144196952,-0.001492178
0.144783118,-0.001500556
0.145369285,-0.001510232
0.145955451,-0.001520709
0.146541618,-0.001530117
0.147127784,-0.001535553
0.147713951,-0.001533671
0.148300117,-0.001521346
0.148886284,-0.00149628
0.14947245,-0.001457442
0.150058617,-0.001405335
0.150644783,-0.001342028
0.15123095,-0.001270936
0.151817116,-0.001196366
0.152403283,-0.001122924
0.152989449,-0.001054897
0.153575615,-0.000995709
0.154161782,-0.000947479
0.154747948,-0.000910743
0.155334115,-0.000884402
0.155920281,-0.000866002
0.156506448,-0.000852334
0.157092614,-0.000840192
0.157678781,-0.000827008
0.158264947,-0.000811178
0.158851114,-0.000792057
0.15943728,-0.000769805
0.160023447,-0.000745209
0.160609613,-0.000719491
0.16119578,-0.000694018
0.161781946,-0.000669879
0.162368113,-0.000647456
0.162954279,-0.000626191
0.163540445,-0.0006047
0.164126612,-0.000581179
0.164712778,-0.00055392
0.165298945,-0.000521716
0.165885111,-0.00048408
0.166471278,-0.000441309
0.167057444,-0.000394469
0.167643611,-0.000345311
0.168229777,-0.000296073
0.168815944,-0.000249112
0.16940211,-0.000206452
0.169988277,-0.00016938
0.170574443,-0.000138227
0.17116061,-0.000112346
0.171746776,-9.02E-05
0.172332943,-6.98E-05
0.172919109,-4.85E-05
0.173505275,-2.41E-05
0.174091442,5.24E-06
0.174677608,4.04E-05
0.175263775,8.15E-05
0.175849941,0.000127753
0.176436108,0.000177843
0.177022274,0.000230236
0.177608441,0.000283367
0.178194607,0.000335904
0.178780774,0.000386974
0.17936694,0.000436314
0.179953107,0.000484255
0.180539273,0.000531549
0.18112544,0.000579066
0.181711606,0.000627492
0.182297773,0.000677102
0.182883939,0.000727662
0.183470106,0.000778449
0.184056272,0.000828353
0.184642438,0.000876046
0.185228605,0.000920182
0.185814771,0.000959588
0.186400938,0.000993418
0.186987104,0.00102125
0.187573271,0.001043108
0.188159437,0.001059415
0.188745604,0.001070893
0.18933177,0.001078395
0.189917937,0.001082721
0.190504103,0.001084478
0.19109027,0.001084046
0.191676436,0.001081658
0.192262603,0.001077578
0.192848769,0.001072259
0.193434936,0.001066439
0.194021102,0.001061144
0.194607268,0.001057654
0.195193435,0.001057421
0.195779601,0.001061957
0.196365768,0.001072642
0.196951934,0.001090471
0.197538101,0.001115819
0.198124267,0.001148304
0.198710434,0.001186827
0.1992966,0.00122976
0.199882767,0.00127521
0.200468933,0.001321294
0.2010551,0.001366359
0.201641266,0.00140919
0.202227433,0.001449189
0.202813599,0.00148649
0.203399766,0.001521932
0.203985932,0.001556831
0.204572098,0.001592616
0.205158265,0.00163043
0.205744431,0.001670811
0.206330598,0.0017135
0.206916764,0.001757379
0.207502931,0.001800524
0.208089097,0.001840399
0.208675264,0.001874201
0.20926143,0.00189935
0.209847597,0.001913994
0.210433763,0.001917404
0.21101993,0.001910151
0.211606096,0.001894031
0.212192263,0.001871821
0.212778429,0.001846895
0.213364596,0.001822779
0.213950762,0.001802642
0.214536928,0.001788806
0.215123095,0.00178238
0.215709261,0.001783129
0.216295428,0.001789639
0.216881594,0.001799691
0.217467761,0.001810745
0.218053927,0.001820399
0.218640094,0.001826773
0.21922626,0.001828799
0.219812427,0.001826381
0.220398593,0.001820378
0.22098476,0.001812376
0.221570926,0.001804255
0.222157093,0.001797691
0.222743259,0.001793721
0.223329426,0.001792509
0.223915592,0.001793327
0.224501758,0.001794733
0.225087925,0.001794889
0.225674091,0.001791967
0.226260258,0.001784604
0.226846424,0.00177229
0.227432591,0.001755604
0.228018757,0.001736211
0.228604924,0.001716622
0.22919109,0.001699769
0.229777257,0.001688493
0.230363423,0.001685011
0.23094959,0.001690454
0.231535756,0.001704555
0.232121923,0.001725569
0.232708089,0.001750493
0.233294256,0.001775533
0.233880422,0.001796713
0.234466589,0.001810479
0.235052755,0.001814199
0.235638921,0.001806487
0.236225088,0.001787359
0.236811254,0.001758164
0.237397421,0.00172131
0.237983587,0.001679786
0.238569754,0.001636591
0.23915592,0.0015942
0.239742087,0.001554192
0.240328253,0.00151709
0.24091442,0.00148242
0.241500586,0.001448938
0.242086753,0.001414975
0.242672919,0.001378872
0.243259086,0.001339418
0.243845252,0.001296218
0.244431419,0.001249892
0.245017585,0.001202073
0.245603751,0.001155195
0.246189918,0.001112134
0.246776084,0.001075778
0.247362251,0.001048581
0.247948417,0.001032164
0.248534584,0.001027035
0.24912075,0.001032479
0.249706917,0.00104667
0.250293083,0.001066969
0.25087925,0.00109034
0.251465416,0.001113765
0.252051583,0.001134603
0.252637749,0.001150829
0.253223916,0.001161169
0.253810082,0.001165094
0.254396249,0.001162688
0.254982415,0.001154373
0.255568581,0.001140571
0.256154748,0.001121395
0.256740914,0.001096464
0.257327081,0.001064914
0.257913247,0.001025577
0.258499414,0.000977279
0.25908558,0.000919156
0.259671747,0.000850958
0.260257913,0.000773281
0.26084408,0.000687719
0.261430246,0.000596864
0.262016413,0.000504134
0.262602579,0.000413397
