Time_s,Voltage_filt,Acc0_filt,Acc1_filt
0,-0.0150974133552896,0.00124245973642095,0.00113493478073993
0.000586166471277849,-0.0129871945480324,0.0012837004792921,0.00112978433074311
0.0011723329425557,-0.0109168322117717,0.00130909710472249,0.00112470317564583
0.00175849941383355,-0.00889205046495786,0.00131101225682023,0.00112089949752204
0.0023446658851114,-0.00691471246356402,0.00128729077686226,0.00111964980447122
0.00293083235638925,-0.00498342231037611,0.0012418987799559,0.00112224429771801
0.00351699882766709,-0.00309423118010743,0.00118435791357944,0.00112995795237214
0.00410316529894489,-0.00124140504987918,0.00112804441120873,0.00114399806084187
0.00468933177022274,0.000581777645164449,0.00108765472319203,0.00116539261830901
0.00527549824150059,0.00238222311267617,0.0010763164247635,0.00119482424650319
0.00586166471277844,0.00416625934422157,0.00110290901362079,0.00123245292163654
0.00644783118405629,0.00593899214960371,0.00117013350955871,0.00127778732276996
0.00703399765533413,0.00770386683141969,0.00127373238874134,0.00132965709754805
0.00762016412661198,0.00946249220817334,0.00140303797399794,0.00138631313395924
0.00820633059788983,0.0112147316537294,0.00154276518130555,0.00144564617892818
0.00879249706916768,0.0129590084019722,0.00167571863910178,0.00150547660942171
0.00937866354044548,0.0146927286104225,0.00178590368199248,0.00156384785916981
0.00996483001172332,0.0164127169244995,0.00186144921532199,0.00161926451923277
0.0105509964830012,0.0181155852154078,0.00189678194504467,0.00167084319021678
0.011137162954279,0.019797995765502,0.00189362980488715,0.00171836460181145
0.0117233294255569,0.0214568222516211,0.00186065226775216,0.00176221644250521
0.0123094958968347,0.0230892496062746,0.00181175544605362,0.00180321312886944
0.0128956623681126,0.0246928749098692,0.00176340152331444,0.00184229730113879
0.0134818288393904,0.0262658598679133,0.00173141830040362,0.00188017213465413
0.0140679953106683,0.0278071351087039,0.00172791758349778,0.00191695701402956
0.0146541617819461,0.0293165890975335,0.00175891675951902,0.00195196891903798
0.0152403282532239,0.0307951371435761,0.00182312390266419,0.00198369762944711
0.0158264947245018,0.0322445893500079,0.00191211944104125,0.00200998258466233
0.0164126611957796,0.033667303688746,0.00201189654903902,0.00202834450966178
0.0169988276670575,0.0350656849671977,0.00210546430259853,0.00203640018405754
0.0175849941383353,0.0364416509724107,0.00217602022513579,0.00203229514438397
0.0181711606096132,0.0377962197880405,0.00221009619327697,0.00201510360186572
0.018757327080891,0.0391293547013294,0.00220009111361918,0.00198514199671139
0.0193434935521689,0.0404401223691336,0.00214572212553227,0.00194412415581625
0.0199296600234466,0.0417271020475712,0.00205412936527924,0.00189508479054454
0.0205158264947245,0.0429888888722733,0.00193861934562178,0.00184204434881277
0.0211019929660023,0.0442245139646515,0.00181628474720913,0.00178947126925249
0.0216881594372802,0.0454336596380054,0.00170494945226465,0.00174166692646529
0.022274325908558,0.0466166343869314,0.00162001660040442,0.00170220908157929
0.0228604923798359,0.0477741477313508,0.00157181551277801,0.00167354515521565
0.0234466588511137,0.0489069793333035,0.00156394299279595,0.00165677228870489
0.0240328253223916,0.0500156649892535,0.00159289567144654,0.00165161443097809
0.0246189917936694,0.0511003011723323,0.00164903629490275,0.00165660168881469
0.0252051582649472,0.0521604961533639,0.00171868189005154,0.00166943999584195
0.0257913247362251,0.053195419111761,0.00178689472755659,0.00168751306700428
0.0263774912075029,0.0542038768528045,0.00184043351099532,0.00170840753206833
0.0269636576787808,0.0551843808815826,0.00187030095914833,0.0017303377418596
0.0275498241500586,0.0561352094122215,0.00187340672149753,0.00175238512963209
0.0281359906213365,0.0570544880292611,0.00185303697796041,0.00177453159064685
0.0287221570926143,0.0579403125426494,0.00181805321557906,0.00179751388001957
0.0293083235638922,0.0587909273499744,0.00178098792061004,0.00182253779289297
0.02989449003517,0.0596049502606093,0.00175541601604493,0.00185088698801365
0.0304806565064478,0.0603816026010569,0.00175311763030816,0.00188347476400374
0.0310668229777257,0.0611208810091131,0.00178158459375791,0.00192042449524349
0.0316529894490035,0.0618236112144075,0.00184235277739614,0.00196079352253465
0.0322391559202814,0.0624913433538373,0.00193047958780546,0.00200253472525144
0.0328253223915592,0.0631260668222365,0.00203526441156172,0.00204271474503294
0.0334114888628371,0.0637297574504476,0.00214207349830016,0.00207792234802959
0.0339976553341149,0.064303843227038,0.00223492405506892,0.00210475976388141
0.0345838218053928,0.0648487541177665,0.00229934244458496,0.00212032672063221
0.0351699882766706,0.0653637356952457,0.00232496250054653,0.00212264302278478
0.0357561547479484,0.0658470206689589,0.00230737980756606,0.00211096685912294
0.0363423212192263,0.0662963047948858,0.00224891718225185,0.00208595060928459
0.0369284876905041,0.0667093487449658,0.0021581605893533,0.00204957275739462
0.037514654161782,0.0670844952279864,0.00204835567656415,0.00200482732198008
0.0381008206330598,0.067420952138807,0.00193496963488918,0.00195522908650958
0.0386869871043377,0.0677187932893186,0.00183288100217102,0.00190425484980241
0.0392731535756155,0.067978719182506,0.00175373080454864,0.00185484820991318
0.0398593200468934,0.0682016825374139,0.00170393611668257,0.00180907277981745
0.0404454865181711,0.0683885072836843,0.00168373626734823,0.00176794583896429
0.041031652989449,0.0685396087311205,0.00168743951619998,0.00173145477732652
0.0416178194607268,0.0686548707856962,0.00170480580778147,0.00169874955171573
0.0422039859320047,0.0687336839110237,0.00172328386716067,0.00166848748517182
0.0427901524032825,0.0687751132048788,0.00173065859711138,0.00163926721613221
0.0433763188745604,0.0687781464743376,0.00171758840291441,0.00161004784175415
0.0439624853458382,0.0687419587298256,0.00167953706983324,0.00158044480823774
0.0445486518171161,0.0686661258352731,0.00161772565914514,0.00155083801832091
0.0451348182883939,0.0685507435023342,0.00153892144074524,0.00152229087591155
0.0457209847596717,0.0683964584185923,0.00145410567353397,0.00149632002346663
0.0463071512309496,0.0682044585601348,0.00137627863179491,0.00147456174049112
0.0468933177022274,0.0679764606189298,0.00131782940912582,0.0014583772083726
0.0474794841735053,0.0677146774266319,0.0012879871151858,0.00144845499650035
0.0480656506447831,0.0674216912047107,0.00129085855936601,0.00144450171411765
0.048651817116061,0.0671001532545548,0.0013244443286861,0.00144512202764007
0.0492379835873388,0.0667523028083023,0.00138083289540026,0.0014479445467638
0.0498241500586167,0.0663794125232836,0.001447541592857,0.00144996566787914
0.0504103165298945,0.0659813454056701,0.00150975061291594,0.0014480143496458
0.0509964830011723,0.0655563884200465,0.00155300453452701,0.00143922903377731
0.0515826494724502,0.065101423790235,0.00156586752942891,0.00142147321253093
0.052168815943728,0.0646123762928129,0.00154202853644647,0.00139365201196257
0.0527549824150059,0.0640847995370524,0.00148145715670424,0.00135589719062055
0.0533411488862837,0.0635144621931387,0.00139038926500926,0.00130957621062324
0.0539273153575616,0.0628978426762664,0.00128014099913229,0.0012570914804794
0.0545134818288394,0.0622324924071118,0.00116497134558852,0.00120148589217236
0.0550996483001173,0.0615172608007207,0.00105939687600889,0.00114593490216497
0.0556858147713951,0.0607523932526381,0.000975472915026135,0.00109324016062457
0.0562719812426729,0.0599395194809814,0.00092056921164746,0.00104542595402163
0.0568581477139508,0.0590815453712634,0.000896076717512802,0.00100349755819558
0.0574443141852286,0.058182454967718,0.000897299770673732,0.000967383539645756
0.0580304806565065,0.0572470244092707,0.000914551709107945,0.000936064403761326
0.0586166471277843,0.0562804489807096,0.000935231479188762,0.00090787291600808
0.0592028135990622,0.0552878969535679,0.000946464307780406,0.000880919634132742
0.05978898007034,0.0542740289054841,0.000937780294385748,0.000853556304320418
0.0603751465416179,0.0532425408415357,0.000903300857620827,0.000824767128708519
0.0609613130128957,0.0521957898721357,0.000843001840773908,0.000794396008410165
0.0615474794841735,0.0511345485842405,0.000762801898393234,0.000763170273251056
0.0621336459554513,0.0500579280917382,0.000673450967095205,0.000732537476940782
0.0627198124267292,0.0489635180100559,0.000588425486265051,0.000704364483358633
0.063305978898007,0.0478477839636581,0.000521233070778853,0.000680554477383156
0.0638921453692849,0.0467066980919736,0.00048265191335803,0.000662634666269951
0.0644783118405627,0.045536474692309,0.000478451642158997,0.000651371771224103
0.0650644783118406,0.0443342250013059,0.000508053177695364,0.0006464845863257
